Term 1,Term 2,Term 3,frequency of trigram,frequency of context (bigram Term1 + Term2),probability of trigram
Citlalli,eso,iba,1,1,1.0
eso,iba,a,1,1,1.0
iba,a,preguntar,1,3,0.3333333333333333
a,preguntar,mañana,1,1,1.0
preguntar,mañana,en,1,1,1.0
mañana,en,la,1,1,1.0
<s>,Vale,muchas,1,2,0.5
Vale,muchas,gracias,1,1,1.0
<s>,Pero,como,1,13,0.07692307692307693
Pero,como,lo,1,1,1.0
como,lo,hicieron,1,1,1.0
lo,hicieron,ustedes?,1,1,1.0
hicieron,ustedes?,</s>,1,1,1.0
ustedes?,</s>,<s>,1,1,1.0
Es,que,creo,1,12,0.08333333333333333
que,creo,que,1,1,1.0
creo,que,lo,1,6,0.16666666666666666
que,lo,que,1,2,0.5
lo,que,yo,1,5,0.2
que,yo,hice,1,3,0.3333333333333333
yo,hice,de,1,1,1.0
hice,de,trámite,1,1,1.0
de,trámite,fue,1,1,1.0
trámite,fue,diferente,1,1,1.0
fue,diferente,</s>,1,1,1.0
diferente,</s>,<s>,1,1,1.0
<s>,Pero,si,1,13,0.07692307692307693
Pero,si,seria,1,1,1.0
si,seria,con,1,1,1.0
seria,con,</s>,1,1,1.0
con,</s>,<s>,1,1,1.0
</s>,<s>,el,1,395,0.002531645569620253
<s>,el,</s>,1,1,1.0
el,</s>,<s>,1,1,1.0
<s>,O,con,1,4,0.25
O,con,uno,1,1,1.0
con,uno,de,1,1,1.0
uno,de,sus,1,1,1.0
de,sus,amigos?,1,1,1.0
sus,amigos?,</s>,1,1,1.0
amigos?,</s>,<s>,1,1,1.0
<s>,Si,muchas,1,69,0.014492753623188406
Si,muchas,gracias,1,1,1.0
Esta,bien,de,1,9,0.1111111111111111
bien,de,verdad,1,1,1.0
de,verdad,muchas,1,1,1.0
verdad,muchas,gracias,1,1,1.0
<s>,si,muchas,1,2,0.5
si,muchas,gracias,1,1,1.0
Gracias,Mily,🥹,1,2,0.5
Mily,🥹,</s>,1,1,1.0
🥹,</s>,<s>,1,1,1.0
<s>,Chicas,nos,1,6,0.16666666666666666
Chicas,nos,toco,1,1,1.0
nos,toco,Edgardo,1,1,1.0
toco,Edgardo,de,1,1,1.0
Edgardo,de,seguimiento,1,1,1.0
<s>,Yo,si,1,6,0.16666666666666666
Yo,si,JAJAJAJA,1,1,1.0
si,JAJAJAJA,</s>,1,1,1.0
Es,de,los,1,2,0.5
de,los,que,1,2,0.5
los,que,se,1,1,1.0
que,se,postulo,1,4,0.25
se,postulo,para,1,1,1.0
postulo,para,director,1,1,1.0
para,director,</s>,1,1,1.0
director,</s>,<s>,1,1,1.0
<s>,Si,te,1,69,0.014492753623188406
Si,te,lo,1,1,1.0
te,lo,juro,1,1,1.0
lo,juro,JAJAJAJA,1,1,1.0
juro,JAJAJAJA,</s>,1,1,1.0
Yo,tambien,se,1,2,0.5
tambien,se,eso,1,1,1.0
se,eso,Mily,1,1,1.0
eso,Mily,JAJAJJAA,1,1,1.0
Mily,JAJAJJAA,</s>,1,1,1.0
JAJAJJAA,</s>,<s>,1,1,1.0
Pues,a,mi,1,2,0.5
a,mi,Lara,1,3,0.3333333333333333
mi,Lara,y,1,1,1.0
Lara,y,Marifer,1,1,1.0
y,Marifer,me,1,1,1.0
Marifer,me,dijeron,1,1,1.0
me,dijeron,que,1,1,1.0
dijeron,que,a,1,2,0.5
que,a,ellas,1,1,1.0
a,ellas,nunca,1,1,1.0
ellas,nunca,las,1,1,1.0
nunca,las,reviso,1,1,1.0
las,reviso,</s>,1,1,1.0
reviso,</s>,<s>,1,1,1.0
<s>,y,es,1,2,0.5
y,es,su,1,1,1.0
es,su,director,1,1,1.0
su,director,de,1,1,1.0
director,de,TT,1,1,1.0
<s>,Entonces,me,1,4,0.25
Entonces,me,imagino,1,1,1.0
me,imagino,que,1,1,1.0
imagino,que,con,1,1,1.0
que,con,nosotras,1,1,1.0
con,nosotras,puede,1,1,1.0
nosotras,puede,ser,1,1,1.0
puede,ser,casi,1,3,0.3333333333333333
ser,casi,lo,1,1,1.0
casi,lo,mismo,1,1,1.0
lo,mismo,</s>,1,1,1.0
