Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
le,pregunté,1,12,0.083333333
pregunté,por,1,1,1
ya,estaba,1,25,0.04
estaba,haciendo,1,2,0.5
haciendo,la,1,3,0.333333333
evidencia,</s>,1,2,0.5
Porque,no,1,2,0.5
no,quiso,1,25,0.04
quiso,el,1,1,1
profe,saber,1,6,0.166666667
saber,el,1,2,0.5
el,corpus,1,59,0.016949153
corpus,document?,1,1,1
document?,</s>,1,1,1
No,las,1,3,0.333333333
las,quiere,1,40,0.025
quiere,como,1,6,0.166666667
como,las,1,8,0.125
las,puso,1,40,0.025
la,explicación,1,89,0.011235955
explicación,de,1,1,1
la,práctica?,1,89,0.011235955
práctica?,</s>,1,1,1
