Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
el,profe,1,27,0.037037037037037035
profe,Felix?,1,3,0.3333333333333333
Felix?,</s>,1,1,1.0
Ya,para,1,12,0.08333333333333333
para,</s>,1,21,0.047619047619047616
<s>,mas,1,396,0.0025252525252525255
mas,seguro,1,1,1.0
como,andan,1,10,0.1
andan,cambiando,1,1,1.0
cambiando,de,1,1,1.0
de,personal,1,43,0.023255813953488372
personal,y,1,1,1.0
y,</s>,1,6,0.16666666666666666
<s>,eso,1,396,0.0025252525252525255
eso,</s>,1,10,0.1
como,salgo,1,10,0.1
salgo,1:30,1,2,0.5
<s>,Luego,1,396,0.0025252525252525255
Luego,llegaba,1,1,1.0
llegaba,como,1,1,1.0
como,15,1,10,0.1
15,minutos,1,1,1.0
minutos,después,1,1,1.0
después,</s>,1,1,1.0
De,mi,1,2,0.5
mi,hora,1,14,0.07142857142857142
hora,de,1,2,0.5
de,entrada,1,43,0.023255813953488372
entrada,</s>,1,1,1.0
Entonces,toca,1,4,0.25
toca,empezar,1,1,1.0
empezar,otra,1,3,0.3333333333333333
eso,les,1,10,0.1
les,pregunto,1,5,0.2
pregunto,</s>,1,1,1.0
Creo,</s>,1,3,0.3333333333333333
Si,pofavo,1,69,0.014492753623188406
Vale,Citlalli,1,2,0.5
Pero,yo,1,13,0.07692307692307693
yo,creo,1,9,0.1111111111111111
sería,igual,1,2,0.5
igual,que,1,1,1.0
que,ustedes,1,96,0.010416666666666666
ustedes,</s>,1,2,0.5
Porque,no,1,8,0.125
no,creo,1,44,0.022727272727272728
que,tenga,1,96,0.010416666666666666
tenga,lugar,1,1,1.0
lugar,</s>,1,1,1.0
Pero,de,1,13,0.07692307692307693
maneras,le,1,2,0.5
le,podrías,1,6,0.16666666666666666
podrías,preguntar,1,2,0.5
preguntar,Mily,1,2,0.5
Mily,pofavo,1,20,0.05
<s>,🙏,1,396,0.0025252525252525255
🙏,</s>,1,1,1.0
<s>,Muchas,1,396,0.0025252525252525255
Muchas,gracias,1,1,1.0
Así,me,1,2,0.5
me,quede,1,24,0.041666666666666664
quede,Citlalli,1,1,1.0
Citlalli,pipipi,1,22,0.045454545454545456
Citlalli,eso,1,22,0.045454545454545456
eso,iba,1,10,0.1
a,preguntar,1,24,0.041666666666666664
preguntar,mañana,1,2,0.5
mañana,en,1,2,0.5
Vale,muchas,1,2,0.5
Pero,como,1,13,0.07692307692307693
como,lo,1,10,0.1
lo,hicieron,1,23,0.043478260869565216
hicieron,ustedes?,1,1,1.0
ustedes?,</s>,1,1,1.0
que,creo,1,96,0.010416666666666666
yo,hice,1,9,0.1111111111111111
hice,de,1,4,0.25
de,trámite,1,43,0.023255813953488372
trámite,fue,1,1,1.0
fue,diferente,1,5,0.2
diferente,</s>,1,1,1.0
Pero,si,1,13,0.07692307692307693
si,seria,1,37,0.02702702702702703
seria,con,1,1,1.0
con,</s>,1,13,0.07692307692307693
<s>,el,1,396,0.0025252525252525255
el,</s>,1,27,0.037037037037037035
O,con,1,4,0.25
con,uno,1,13,0.07692307692307693
uno,de,1,2,0.5
de,sus,1,43,0.023255813953488372
sus,amigos?,1,1,1.0
amigos?,</s>,1,1,1.0
Si,muchas,1,69,0.014492753623188406
bien,de,1,16,0.0625
de,verdad,1,43,0.023255813953488372
verdad,muchas,1,2,0.5
